Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily Return,MA_7,52W High,52W Low,Volatility
2025-04-01 00:00:00+05:30,3453.3546,3464.2772,3407.2481,3432.1863,2618493,0.0,0.0,-0.0061,3432.1863,3464.2772,3407.2481,0.0
2025-04-02 00:00:00+05:30,3425.6138,3445.0425,3412.1298,3425.5654,1764313,0.0,0.0,-0.0,3428.8759,3464.2772,3407.2481,0.0043
2025-04-03 00:00:00+05:30,3374.3842,3385.0168,3282.7026,3289.4688,4537821,0.0,0.0,-0.0252,3382.4068,3464.2772,3282.7026,0.0131
2025-04-04 00:00:00+05:30,3250.2736,3286.0858,3185.4149,3189.1846,5317367,0.0,0.0,-0.0188,3334.1013,3464.2772,3185.4149,0.0115
2025-04-07 00:00:00+05:30,2996.4452,3181.4514,2953.9634,3164.6812,6623955,0.0,0.0,0.0561,3300.2172,3464.2772,2953.9634,0.0323
2025-04-08 00:00:00+05:30,3191.7461,3237.1277,3146.5577,3182.95,5557558,0.0,0.0,-0.0028,3280.6727,3464.2772,2953.9634,0.0289
2025-04-09 00:00:00+05:30,3151.6321,3160.7664,3104.7523,3138.1482,2990265,0.0,0.0,-0.0043,3260.312,3464.2772,2953.9634,0.0265
2025-04-11 00:00:00+05:30,3179.6634,3188.7493,3098.9043,3123.5525,7108961,0.0,0.0,-0.0176,3216.2215,3464.2772,2953.9634,0.0272
2025-04-15 00:00:00+05:30,3203.6834,3203.6834,3130.4157,3139.6948,3512160,0.0,0.0,-0.02,3175.3828,3464.2772,2953.9634,0.0281
2025-04-16 00:00:00+05:30,3139.6948,3168.5961,3121.1362,3164.4397,2384391,0.0,0.0,0.0079,3157.5216,3464.2772,2953.9634,0.0268
2025-04-17 00:00:00+05:30,3137.0851,3193.2444,3110.5037,3188.7012,2932346,0.0,0.0,0.0165,3157.4525,3464.2772,2953.9634,0.0259
2025-04-21 00:00:00+05:30,3180.1951,3241.9604,3174.3955,3210.6428,2432946,0.0,0.0,0.0096,3164.0185,3464.2772,2953.9634,0.0138
2025-04-22 00:00:00+05:30,3211.6094,3222.5317,3184.9313,3203.6831,2710498,0.0,0.0,-0.0025,3166.9803,3464.2772,2953.9634,0.0138
2025-04-23 00:00:00+05:30,3252.5929,3306.6255,3225.8183,3298.9895,3543923,0.0,0.0,0.0143,3189.9577,3464.2772,2953.9634,0.0149
2025-04-24 00:00:00+05:30,3287.4874,3298.5065,3274.5349,3287.9707,2252175,0.0,0.0,0.0001,3213.446,3464.2772,2953.9634,0.0125
2025-04-25 00:00:00+05:30,3305.7559,3361.6251,3291.257,3332.8206,2742991,0.0,0.0,0.0082,3241.0354,3464.2772,2953.9634,0.0069
2025-04-28 00:00:00+05:30,3320.2546,3342.2931,3291.2568,3328.4707,1593296,0.0,0.0,0.0025,3264.4684,3464.2772,2953.9634,0.0072
2025-04-29 00:00:00+05:30,3339.5868,3378.2506,3315.8084,3356.5022,1578332,0.0,0.0,0.0051,3288.4399,3464.2772,2953.9634,0.0058
2025-04-30 00:00:00+05:30,3356.0188,3392.6527,3253.5597,3338.3301,2809332,0.0,0.0,-0.0053,3306.681,3464.2772,2953.9634,0.0066
2025-05-02 00:00:00+05:30,3356.0188,3374.8674,3305.7559,3316.3884,1721761,0.0,0.0,-0.0118,3322.7817,3464.2772,2953.9634,0.0086
2025-05-05 00:00:00+05:30,3334.7537,3387.4332,3331.2739,3338.9102,1284443,0.0,0.0,0.0012,3328.4847,3464.2772,2953.9634,0.0067
2025-05-06 00:00:00+05:30,3344.4197,3356.9854,3322.188,3344.4197,1324763,0.0,0.0,0.0,3336.5488,3464.2772,2953.9634,0.0067
2025-05-07 00:00:00+05:30,3306.3358,3343.9362,3306.3358,3330.0173,1477128,0.0,0.0,0.0072,3336.1484,3464.2772,2953.9634,0.0065
2025-05-08 00:00:00+05:30,3332.8206,3360.8519,3314.1653,3333.6904,2543591,0.0,0.0,0.0003,3336.894,3464.2772,2953.9634,0.0064
2025-05-09 00:00:00+05:30,3285.4573,3331.0805,3284.5874,3325.3777,2531757,0.0,0.0,0.0122,3332.4477,3464.2772,2953.9634,0.0078
2025-05-12 00:00:00+05:30,3387.9164,3509.2241,3385.2099,3499.4614,2228678,0.0,0.0,0.0329,3355.4664,3509.2241,2953.9634,0.014
2025-05-13 00:00:00+05:30,3499.4616,3501.9748,3393.2328,3397.5825,3062887,0.0,0.0,-0.0291,3367.0656,3509.2241,2953.9634,0.0185
2025-05-14 00:00:00+05:30,3403.3819,3442.0457,3391.3962,3430.1565,2119499,0.0,0.0,0.0079,3380.1008,3509.2241,2953.9634,0.0185
2025-05-15 00:00:00+05:30,3444.9457,3479.7431,3396.7127,3460.3145,3548330,0.0,0.0,0.0045,3396.6572,3509.2241,2953.9634,0.0184
2025-05-16 00:00:00+05:30,3473.8466,3473.8466,3427.6435,3442.3357,1666727,0.0,0.0,-0.0091,3412.7027,3509.2241,2953.9634,0.0191
2025-05-19 00:00:00+05:30,3431.4131,3431.4131,3386.6597,3401.2554,2537377,0.0,0.0,-0.0088,3422.3548,3509.2241,2953.9634,0.0196
2025-05-20 00:00:00+05:30,3413.8214,3439.1461,3377.284,3381.4404,2038374,0.0,0.0,-0.0095,3430.3638,3509.2241,2953.9634,0.0193
2025-05-21 00:00:00+05:30,3390.8165,3418.8478,3381.4406,3408.022,1440153,0.0,0.0,0.0051,3417.301,3509.2241,2953.9634,0.0128
2025-05-22 00:00:00+05:30,3378.2505,3380.957,3336.0104,3360.8518,2034383,0.0,0.0,-0.0052,3412.0537,3509.2241,2953.9634,0.0076
2025-05-23 00:00:00+05:30,3360.8517,3416.9142,3349.8326,3397.1958,1274331,0.0,0.0,0.0108,3407.3451,3509.2241,2953.9634,0.0083
2025-05-26 00:00:00+05:30,3403.3821,3426.5804,3392.8463,3419.1377,967470,0.0,0.0,0.0046,3401.4627,3509.2241,2953.9634,0.0084
2025-05-27 00:00:00+05:30,3414.0146,3421.7473,3366.7482,3381.8269,2467680,0.0,0.0,-0.0094,3392.8186,3509.2241,2953.9634,0.0084
2025-05-28 00:00:00+05:30,3402.4155,3411.1148,3376.3174,3380.8604,1222933,0.0,0.0,-0.0063,3389.905,3509.2241,2953.9634,0.0081
2025-05-29 00:00:00+05:30,3387.6267,3414.4981,3370.0347,3381.2473,3188072,0.0,0.0,-0.0019,3389.8774,3509.2241,2953.9634,0.0073
2025-05-30 00:00:00+05:30,3373.4176,3389.5597,3337.7503,3347.7061,3404365,0.0,0.0,-0.0076,3381.2608,3509.2241,2953.9634,0.0073
2025-06-02 00:00:00+05:30,3334.7538,3344.4198,3304.4028,3334.5605,1877585,0.0,0.0,-0.0001,3377.505,3509.2241,2953.9634,0.0072
2025-06-03 00:00:00+05:30,3330.8873,3357.4687,3286.9072,3291.4502,2848125,0.0,0.0,-0.0118,3362.3984,3509.2241,2953.9634,0.0058
2025-06-04 00:00:00+05:30,3304.9077,3310.5638,3286.3791,3297.0085,2544807,30.0,0.0,-0.0024,3344.9514,3509.2241,2953.9634,0.0043
2025-06-05 00:00:00+05:30,3324.4114,3324.4114,3280.2354,3287.4519,3584683,0.0,0.0,-0.0111,3331.4693,3509.2241,2953.9634,0.0046
2025-06-06 00:00:00+05:30,3287.452,3306.7605,3275.3595,3300.2268,2070390,0.0,0.0,0.0039,3319.9502,3509.2241,2953.9634,0.0059
2025-06-09 00:00:00+05:30,3315.635,3348.7913,3306.7607,3336.9915,1718678,0.0,0.0,0.0064,3313.6279,3509.2241,2953.9634,0.0072
2025-06-10 00:00:00+05:30,3354.6424,3399.306,3338.2593,3376.9741,2419874,0.0,0.0,0.0067,3317.8091,3509.2241,2953.9634,0.0077
2025-06-11 00:00:00+05:30,3383.898,3402.4265,3363.5167,3385.7507,2847013,0.0,0.0,0.0005,3325.122,3509.2241,2953.9634,0.0078
2025-06-12 00:00:00+05:30,3385.7506,3388.4811,3338.259,3348.9861,4060134,0.0,0.0,-0.0109,3333.3414,3509.2241,2953.9634,0.0075
2025-06-13 00:00:00+05:30,3309.0036,3364.8819,3309.0036,3360.2009,2178493,0.0,0.0,0.0155,3342.3689,3509.2241,2953.9634,0.0097
2025-06-16 00:00:00+05:30,3354.6423,3421.9302,3341.1847,3409.5454,1934088,0.0,0.0,0.0164,3359.8108,3509.2241,2953.9634,0.0093
2025-06-17 00:00:00+05:30,3422.9054,3432.6573,3401.5489,3428.074,2111940,0.0,0.0,0.0015,3378.0747,3509.2241,2953.9634,0.0094
2025-06-18 00:00:00+05:30,3431.7796,3450.2105,3357.6654,3365.7593,2696327,0.0,0.0,-0.0192,3382.1844,3509.2241,2953.9634,0.0131
