Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily Return,MA_7,52W High,52W Low,Volatility
2025-04-01 00:00:00+05:30,1495.0062,1502.922,1474.2213,1482.6227,12680733,0.0,0.0,-0.0083,1482.6227,1502.922,1474.2213,0.0
2025-04-02 00:00:00+05:30,1491.0727,1510.9349,1491.0727,1505.593,6193478,0.0,0.0,0.0097,1494.1078,1510.9349,1474.2213,0.0127
2025-04-03 00:00:00+05:30,1490.5384,1490.5384,1442.3641,1453.485,10459504,0.0,0.0,-0.0249,1480.5669,1510.9349,1442.3641,0.0173
2025-04-04 00:00:00+05:30,1418.5198,1429.6892,1406.3791,1409.9242,9590254,0.0,0.0,-0.0061,1462.9062,1510.9349,1406.3791,0.0142
2025-04-07 00:00:00+05:30,1313.1386,1365.4893,1269.432,1356.6023,21715252,0.0,0.0,0.0331,1441.6454,1510.9349,1269.432,0.0219
2025-04-08 00:00:00+05:30,1389.8678,1414.6348,1374.3277,1387.7311,12805001,0.0,0.0,-0.0015,1432.6597,1510.9349,1269.432,0.0196
2025-04-09 00:00:00+05:30,1364.6637,1368.9371,1342.1791,1363.3524,8546854,0.0,0.0,-0.001,1422.7587,1510.9349,1269.432,0.0179
2025-04-11 00:00:00+05:30,1370.6856,1397.4437,1356.8938,1368.9373,12567440,0.0,0.0,-0.0013,1406.5179,1510.9349,1269.432,0.0175
2025-04-15 00:00:00+05:30,1404.0481,1406.0877,1368.5001,1385.0115,10178530,0.0,0.0,-0.0136,1389.292,1510.9349,1269.432,0.0178
2025-04-16 00:00:00+05:30,1384.0403,1386.4684,1356.6509,1372.4823,12022740,0.0,0.0,-0.0084,1377.7201,1510.9349,1269.432,0.0152
2025-04-17 00:00:00+05:30,1357.8162,1388.7022,1338.6825,1378.6982,14264227,0.0,0.0,0.0154,1373.2593,1510.9349,1269.432,0.0159
2025-04-21 00:00:00+05:30,1369.4715,1429.4951,1369.4715,1409.293,15648970,0.0,0.0,0.0291,1380.7865,1510.9349,1269.432,0.0147
2025-04-22 00:00:00+05:30,1398.6091,1398.6091,1378.5042,1381.9036,9399738,0.0,0.0,-0.0119,1379.954,1510.9349,1269.432,0.0157
2025-04-23 00:00:00+05:30,1404.4365,1445.0351,1398.2205,1432.5059,11136642,0.0,0.0,0.02,1389.8331,1510.9349,1269.432,0.0171
2025-04-24 00:00:00+05:30,1427.6497,1440.276,1419.4911,1429.1066,7114292,0.0,0.0,0.001,1398.4287,1510.9349,1269.432,0.017
2025-04-25 00:00:00+05:30,1433.0887,1458.5356,1421.4336,1437.6536,8329979,0.0,0.0,0.0032,1405.949,1510.9349,1269.432,0.0151
2025-04-28 00:00:00+05:30,1437.6535,1446.7833,1423.1819,1439.4989,5886253,0.0,0.0,0.0013,1415.5228,1510.9349,1269.432,0.0139
2025-04-29 00:00:00+05:30,1439.4019,1466.4029,1431.729,1454.4564,8056743,0.0,0.0,0.0105,1426.3454,1510.9349,1269.432,0.0136
2025-04-30 00:00:00+05:30,1453.7765,1465.4316,1439.9846,1456.9816,7704183,0.0,0.0,0.0022,1433.1581,1510.9349,1269.432,0.0098
2025-05-02 00:00:00+05:30,1456.5931,1479.4176,1453.1937,1463.5862,7402310,0.0,0.0,0.0048,1444.827,1510.9349,1269.432,0.0069
2025-05-05 00:00:00+05:30,1471.4534,1479.2234,1459.6041,1465.2373,4282493,0.0,0.0,-0.0042,1449.5029,1510.9349,1269.432,0.0044
2025-05-06 00:00:00+05:30,1462.7119,1472.036,1456.0102,1468.0538,4270530,0.0,0.0,0.0037,1455.0668,1510.9349,1269.432,0.0044
2025-05-07 00:00:00+05:30,1456.8844,1475.1441,1453.5822,1464.9459,5691799,0.0,0.0,0.0055,1458.9657,1510.9349,1269.432,0.0045
2025-05-08 00:00:00+05:30,1464.6546,1472.9103,1458.05,1467.9569,8424409,0.0,0.0,0.0023,1463.0312,1510.9349,1269.432,0.0044
2025-05-09 00:00:00+05:30,1457.5643,1467.9568,1451.154,1464.266,4478653,0.0,0.0,0.0046,1464.4325,1510.9349,1269.432,0.0033
2025-05-12 00:00:00+05:30,1492.821,1585.0903,1487.9647,1580.137,11372857,0.0,0.0,0.0585,1482.0262,1585.0903,1269.432,0.0213
2025-05-13 00:00:00+05:30,1562.7514,1565.8593,1519.6275,1523.5126,12846210,0.0,0.0,-0.0251,1490.5871,1585.0903,1269.432,0.0253
2025-05-14 00:00:00+05:30,1528.7574,1549.1538,1524.3867,1546.6285,4870057,0.0,0.0,0.0117,1502.2144,1585.0903,1269.432,0.0249
2025-05-15 00:00:00+05:30,1544.1033,1572.0754,1525.8436,1566.6364,11151167,0.0,0.0,0.0146,1516.2976,1585.0903,1269.432,0.0249
2025-05-16 00:00:00+05:30,1566.2479,1566.2479,1536.0419,1544.2004,4576751,0.0,0.0,-0.0141,1527.6197,1585.0903,1269.432,0.0266
2025-05-19 00:00:00+05:30,1531.1855,1539.4412,1510.9833,1514.9656,8855798,0.0,0.0,-0.0106,1534.3352,1585.0903,1269.432,0.0274
2025-05-20 00:00:00+05:30,1524.8724,1537.9843,1513.2173,1515.7426,7143998,0.0,0.0,-0.006,1541.689,1585.0903,1269.432,0.0278
2025-05-21 00:00:00+05:30,1522.8328,1525.8437,1507.4869,1523.4155,4157309,0.0,0.0,0.0004,1533.5859,1585.0903,1269.432,0.0142
2025-05-22 00:00:00+05:30,1510.7891,1515.9368,1495.7346,1503.019,6158990,0.0,0.0,-0.0051,1530.6583,1585.0903,1269.432,0.0109
2025-05-23 00:00:00+05:30,1505.4473,1541.5779,1505.4473,1519.8219,5038421,0.0,0.0,0.0095,1526.8288,1585.0903,1269.432,0.0105
2025-05-26 00:00:00+05:30,1521.5701,1538.2757,1517.7821,1535.0706,3170102,0.0,0.0,0.0089,1522.3194,1585.0903,1269.432,0.0091
2025-05-27 00:00:00+05:30,1534.488,1537.4017,1511.6634,1524.9696,7775714,0.0,0.0,-0.0062,1519.5721,1585.0903,1269.432,0.0079
2025-05-28 00:00:00+05:30,1535.5562,1542.0636,1524.8724,1526.6207,3623370,0.0,0.0,-0.0058,1521.2371,1585.0903,1269.432,0.0071
2025-05-29 00:00:00+05:30,1543.3263,1562.6544,1531.2827,1540.024,8609500,0.0,0.0,-0.0021,1524.7059,1585.0903,1269.432,0.0068
2025-05-30 00:00:00+05:30,1547.3125,1548.2974,1531.6522,1539.1376,13148092,22.0,0.0,-0.0053,1526.9519,1585.0903,1269.432,0.007
2025-06-02 00:00:00+05:30,1536.4783,1536.4783,1515.7949,1530.3718,4374509,0.0,0.0,-0.004,1530.8595,1585.0903,1269.432,0.0069
2025-06-03 00:00:00+05:30,1535.4934,1543.6683,1512.4462,1519.7346,6853403,0.0,0.0,-0.0103,1530.847,1585.0903,1269.432,0.006
2025-06-04 00:00:00+05:30,1519.7346,1533.819,1518.1587,1527.8109,4548307,0.0,0.0,0.0053,1529.8099,1585.0903,1269.432,0.0048
2025-06-05 00:00:00+05:30,1524.5607,1544.0621,1518.3557,1530.8643,6948539,0.0,0.0,0.0041,1530.652,1585.0903,1269.432,0.0056
2025-06-06 00:00:00+05:30,1531.2582,1545.2441,1519.8331,1540.2211,3960020,0.0,0.0,0.0059,1532.5949,1585.0903,1269.432,0.0062
2025-06-09 00:00:00+05:30,1554.2069,1564.0561,1547.3125,1549.1838,2903202,0.0,0.0,-0.0032,1533.9034,1585.0903,1269.432,0.0062
2025-06-10 00:00:00+05:30,1560.1165,1583.2622,1553.7145,1571.9355,8591925,0.0,0.0,0.0076,1538.5889,1585.0903,1269.432,0.0066
2025-06-11 00:00:00+05:30,1566.1244,1609.9535,1566.1244,1606.5062,10597410,0.0,0.0,0.0258,1549.4652,1609.9535,1269.432,0.0111
2025-06-12 00:00:00+05:30,1592.6188,1603.453,1574.0038,1584.3455,10483574,0.0,0.0,-0.0052,1558.6953,1609.9535,1269.432,0.0101
2025-06-13 00:00:00+05:30,1552.237,1584.7394,1546.5244,1577.845,6968315,0.0,0.0,0.0165,1565.8431,1609.9535,1269.432,0.0108
2025-06-16 00:00:00+05:30,1575.8752,1610.1505,1573.0189,1599.3164,5591842,0.0,0.0,0.0149,1575.6219,1610.1505,1269.432,0.0111
2025-06-17 00:00:00+05:30,1596.263,1622.5605,1591.2399,1615.1736,7622083,0.0,0.0,0.0118,1586.3294,1622.5605,1269.432,0.011
