Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily Return,MA_7,52W High,52W Low,Volatility
2025-04-01 00:00:00+05:30,1259.5693,1272.8165,1244.3303,1247.6171,12099648,0.0,0.0,-0.0095,1247.6171,1272.8165,1244.3303,0.0
2025-04-02 00:00:00+05:30,1242.5873,1250.5555,1238.9518,1246.173,10142590,0.0,0.0,0.0029,1246.895,1272.8165,1238.9518,0.0088
2025-04-03 00:00:00+05:30,1228.145,1246.8204,1228.145,1243.7327,7434366,0.0,0.0,0.0127,1245.8409,1272.8165,1228.145,0.0111
2025-04-04 00:00:00+05:30,1236.1628,1240.4955,1188.4036,1199.9076,17908652,0.0,0.0,-0.0293,1234.3576,1272.8165,1188.4036,0.0181
2025-04-07 00:00:00+05:30,1127.696,1166.5907,1110.4151,1161.0627,22156106,0.0,0.0,0.0296,1219.6986,1272.8165,1110.4151,0.0223
2025-04-08 00:00:00+05:30,1167.3378,1191.8399,1158.6725,1177.4972,19555040,0.0,0.0,0.0087,1212.665,1272.8165,1110.4151,0.0202
2025-04-09 00:00:00+05:30,1164.8477,1185.067,1163.3537,1180.6346,10223104,0.0,0.0,0.0136,1208.0893,1272.8165,1110.4151,0.0189
2025-04-11 00:00:00+05:30,1190.3957,1217.7863,1190.3957,1214.101,11224242,0.0,0.0,0.0199,1203.3013,1272.8165,1110.4151,0.0186
2025-04-15 00:00:00+05:30,1246.0235,1246.0235,1232.1788,1235.1669,13378535,0.0,0.0,-0.0087,1201.729,1272.8165,1110.4151,0.0197
2025-04-16 00:00:00+05:30,1229.1907,1235.9637,1224.111,1234.3701,8248464,0.0,0.0,0.0042,1200.3914,1272.8165,1110.4151,0.0195
2025-04-17 00:00:00+05:30,1235.2665,1275.1073,1222.7166,1269.4301,15398401,0.0,0.0,0.0277,1210.3232,1275.1073,1110.4151,0.0136
2025-04-21 00:00:00+05:30,1264.9479,1295.725,1261.9598,1290.3464,10429964,0.0,0.0,0.0201,1228.7923,1295.725,1110.4151,0.0121
2025-04-22 00:00:00+05:30,1294.8286,1298.7132,1281.1832,1286.0636,13051707,0.0,0.0,-0.0068,1244.3018,1298.7132,1110.4151,0.0141
2025-04-23 00:00:00+05:30,1291.8405,1300.8047,1280.2867,1294.8286,10480888,0.0,0.0,0.0023,1260.6152,1300.8047,1110.4151,0.0142
2025-04-24 00:00:00+05:30,1287.2589,1299.3107,1285.1673,1296.4222,10468940,0.0,0.0,0.0071,1272.3754,1300.8047,1110.4151,0.0133
2025-04-25 00:00:00+05:30,1298.3147,1319.9283,1282.9759,1295.2271,14431012,0.0,0.0,-0.0024,1280.9554,1319.9283,1110.4151,0.0123
2025-04-28 00:00:00+05:30,1334.6695,1369.1318,1314.9482,1363.355,31104496,0.0,0.0,0.0215,1299.3819,1369.1318,1110.4151,0.0132
2025-04-29 00:00:00+05:30,1365.5462,1405.2875,1364.5502,1394.132,32538970,0.0,0.0,0.0209,1317.1964,1405.2875,1110.4151,0.0119
2025-04-30 00:00:00+05:30,1396.4228,1406.7815,1363.5541,1399.4109,25480745,0.0,0.0,0.0021,1332.777,1406.7815,1110.4151,0.011
2025-05-02 00:00:00+05:30,1408.3751,1421.0246,1403.4946,1414.1521,13007841,0.0,0.0,0.0041,1351.0754,1421.0246,1110.4151,0.0095
2025-05-05 00:00:00+05:30,1425.3075,1433.7737,1421.2238,1425.6063,12685649,0.0,0.0,0.0002,1369.7579,1433.7737,1110.4151,0.0097
